OrderID,Date,CustomerID,Region,Channel,Category,Product,Quantity,UnitPrice_KES,Revenue_KES,PaymentMethod
ORD0001,23/03/2026,CUST032,Mombasa,In-Store,Electronics,Wireless Mouse,3,1800,5400,M-Pesa
ORD0002,28/03/2026,CUST005,Nairobi,In-Store,Electronics,Bluetooth Speaker,4,5200,20800,M-Pesa
ORD0003,06/03/2026,CUST092,Nakuru,In-Store,Electronics,Bluetooth Speaker,2,5200,10400,Cash
ORD0004,05/02/2026,CUST044,Kisumu,In-Store,Electronics,Keyboard,4,3200,12800,Card
ORD0005,14/01/2026,CUST046,Kisumu,In-Store,Electronics,Power Bank,1,3500,3500,M-Pesa
ORD0006,28/02/2026,CUST071,Kisumu,Online,Electronics,Power Bank,1,3500,3500,Cash
ORD0007,16/02/2026,CUST085,Mombasa,Online,Home & Office,Desk Lamp,1,2800,2800,M-Pesa
ORD0008,30/01/2026,CUST059,Kisumu,In-Store,Electronics,Power Bank,3,3500,10500,Card
ORD0009,27/01/2026,CUST082,Mombasa,In-Store,Personal Care,Hair Dryer,5,4800,24000,M-Pesa
ORD0010,21/01/2026,CUST119,Mombasa,Online,Accessories,Earphones,3,3000,9000,M-Pesa
ORD0011,30/01/2026,CUST035,Nairobi,In-Store,Electronics,USB-C Hub,4,4500,18000,Cash
ORD0012,10/02/2026,CUST114,Nakuru,In-Store,Home & Office,Water Bottle,4,1500,6000,M-Pesa
ORD0013,01/02/2026,CUST115,Nakuru,In-Store,Personal Care,Face Cleanser,4,1600,6400,M-Pesa
ORD0014,07/03/2026,CUST111,Nairobi,In-Store,Accessories,Phone Case,1,1100,1100,M-Pesa
ORD0015,29/03/2026,CUST050,Nakuru,In-Store,Accessories,Smart Watch Strap,1,1400,1400,Card
ORD0016,09/03/2026,CUST088,Nairobi,Online,Personal Care,Face Cleanser,1,1600,1600,Cash
ORD0017,04/02/2026,CUST056,Mombasa,In-Store,Personal Care,Hair Dryer,3,4800,14400,Cash
ORD0018,03/02/2026,CUST112,Kisumu,Online,Home & Office,Backpack,1,4200,4200,Cash
ORD0019,19/03/2026,CUST098,Mombasa,In-Store,Home & Office,Notebook Pack,3,900,2700,Cash
ORD0020,01/01/2026,CUST015,Kisumu,Online,Personal Care,Perfume,1,5500,5500,Card
ORD0021,31/01/2026,CUST011,Nairobi,Online,Electronics,Keyboard,5,3200,16000,M-Pesa
ORD0022,10/03/2026,CUST071,Mombasa,In-Store,Home & Office,Notebook Pack,4,900,3600,Cash
ORD0023,24/02/2026,CUST092,Kisumu,In-Store,Home & Office,Backpack,2,4200,8400,Cash
ORD0024,25/03/2026,CUST058,Nairobi,In-Store,Personal Care,Perfume,5,5500,27500,M-Pesa
ORD0025,13/02/2026,CUST030,Mombasa,In-Store,Electronics,Bluetooth Speaker,5,5200,26000,Cash
